uid,name,subcounty_uid,subcounty,district_uid,district,region_uid,region,hflevel,ownership
G51dLKvQTxh,David Fagerlee's Medical Centre,nXAQOdNQCIo,Adilang Town Council,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,PNFP
y8q1syPdfdK,Dr. Ambrosoli Memorial Hospital Kalongo,RXwynIETRuW,Kalongo Town Council,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,General Hospital,PNFP
ldVk8civU6m,St. Janani Health Centre II,l7uazBwTNHf,Lira Palwo Town Council,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,PNFP
aFgrVHVDqoZ,Amuru Lacor Health Centre III,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC III,PNFP
OJYXXSC87rV,Oberabic Health Centre II,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PNFP
KSVxJfpwdlo,Ayiko International Hospital,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,General Hospital,PNFP
VdSMFKnHeyT,Mother Health International Health Centre II,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PNFP
r6JsqcaIqQh,Sacred Heart Health Centre II,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PNFP
AJxamlmKn2x,Keyo Health Centre II,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PNFP
UZYxp87I4oX,Keyo Medical Health Centre II,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC II,PFP
FNTxj1oKTQd,Lacor-Pabbo Health Centre III,zWPYifWT74s,Pabo Town Council,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,HC III,PNFP
goyzaXgJl7C,Pabo Medical and Maternity Clinic,zWPYifWT74s,Pabo Town Council,C0RSe3EWBqU,Amuru District,SUvODYOcaVf,Acholi,Clinic,PFP
AbgTvK9gyhA,Care Plus Medical Centre,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
Az3dr4kZboc,Charity Medical Centre,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
gNOc58wzKHx,Child Care Community Centre,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
aoBupw5zrMP,Comboni Samaritans Health Centre II,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PNFP
UpumtCGZcN0,Glanhor Clinic,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
LIuykl04kI9,Good Hope Medical Centre(Gulu) Clinic,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
RsY5tCgiuHp,Gulu Independent Hospital,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,General Hospital,PFP
S0RHvHct4uS,International Medical Centre,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
jnS54maqjwy,Kony-Kwo Clinic,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
JIhuoOFwtAr,Light Rays Uganda Health Centre II,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PNFP
aRBRoPNJuhf,Marie Stopes Uganda Gulu Health Centre II,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PNFP
jysVbegOvJ8,Pikwo Medical Centre Clinic,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
oA9gSEEB1qd,Piwan Medical Centre,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
aPsvoBYxsDS,St. Mary's Hospital Lacor,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,General Hospital,PNFP
l6Hyq52O7B1,St. Mary's Medical Centre,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
PDrCI0KZp8c,St. Monica Health Centre II,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PNFP
LPJ8Gxge7ig,St. Philip Health Centre II,xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PNFP
asZMKtqcAd9,Victory Medical Centre Clinic (Laroo),xN3BZZ5MtYs,Bar-Dege Layibi Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
b2LlvIFGc5U,AAR Gulu Clinic,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
CkUZza1MI3Y,Agonga Karine Community Health Centre II,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PNFP
pXRws5D6wrR,Community Clinic,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
aLYCBzAcgPU,Fitzmann Medical and Dental Clinic,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
DgcoJ3W21vA,Flama Uganda Health Centre II,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PNFP
fLjNMAg4ymN,Goodwilll Polyclinic,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PNFP
ac0AKXEU6Cz,Gulu Lifeline Clinic,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
qZUu0ylcHTa,Gulu Youth Health Centre II,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
iRuin8Wmvzp,Healing Hand Medical Centre,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
huR6kAEICw4,Karin Medical Health Centre III,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC III,PNFP
pD07V67nAEZ,Mary Queen Of Peace Health Centre III,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC III,PNFP
Vc52QmdPT1X,Mola Medical Centre Clinic,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
y6obJSQlHLE,Musgrave Health Centre II,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PNFP
DCyQXcoWZw7,Pilwak Clinic (Pece),LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PFP
o3GWM4VVhQy,Reproductive Health Uganda (Gulu) Health Centre II,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PNFP
bkDIfDrVsnC,St. Bakita Medical Centre and Maternity Home,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC II,PFP
XpSHs0t1rtF,St. Mauritz Health Centre III,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC III,PNFP
kG0Pg9QsbJM,St. Nektarios Orthodox Health Centre III,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,HC III,PNFP
atGRMXTBJaA,TASO Gulu,LllQ7wFfkGG,Laroo Pece Division,szlrGpmFlu9,Gulu City,SUvODYOcaVf,Acholi,Clinic,PNFP
dIbIL5tIcDi,Lukodi Health Centre II,LNkFivzpeA1,Bungatira Subcounty,Gwk4wkLz7EW,Gulu District,SUvODYOcaVf,Acholi,HC II,PNFP
RefkDqDX6jq,Gracius Clinic and Maternity Home,OKIyTJatyIr,Paicho Subcounty,Gwk4wkLz7EW,Gulu District,SUvODYOcaVf,Acholi,Clinic,PFP
qb4Et8MqIZt,Paicho Medical Centre,OKIyTJatyIr,Paicho Subcounty,Gwk4wkLz7EW,Gulu District,SUvODYOcaVf,Acholi,Clinic,PFP
ifmbldJaNrM,Bmj Medical Clinic,mdLZLcMudPe,Central Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,Clinic,PFP
k1Ady0jT3QS,Bregma Health Centre II,mdLZLcMudPe,Central Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,HC II,PFP
aY4QRB6dKBj,Capricon Medical Clinic,mdLZLcMudPe,Central Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,Clinic,PFP
AcJBataZEgg,Florence Medic Drug Supplies Health Centre II,mdLZLcMudPe,Central Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,HC II,PFP
OSehC9j4JV1,Irene Gleeson Foundation Health Centre II,mdLZLcMudPe,Central Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,HC II,PNFP
f7pQNP83wd9,Kitgum Maternity and Medical Centre,mdLZLcMudPe,Central Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,Clinic,PFP
CU6IfK8lFaQ,Lorado Medical Clinic,mdLZLcMudPe,Central Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,Clinic,PFP
XyQOt9FlVin,Maternity Home Health Centre II,mdLZLcMudPe,Central Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,HC II,PFP
FW0YzouB8dl,Meeting Point Health Centre II,mdLZLcMudPe,Central Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,HC II,PNFP
CK05rJs1H25,Diocese Of Kitgum Health Centre II,a9NzDoLn9kz,Pager Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,HC II,PNFP
g6xaEQ1fTQS,St. Joseph's Kitgum Hospital,a9NzDoLn9kz,Pager Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,General Hospital,PNFP
bGukebSAb69,St. Phillip's Medical Clinic,a9NzDoLn9kz,Pager Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,Clinic,PFP
JEOnniXpbdj,Kitgum Youth Centre Clinic,KVTbja9X7lA,Pandwong Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,Clinic,PNFP
v6eIpzse4SO,New Life Health Centre III,KVTbja9X7lA,Pandwong Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,HC III,PNFP
mrFe7PfavEW,Nimaro Medical Clinic,KVTbja9X7lA,Pandwong Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,Clinic,PFP
nfcZPqAomrp,Yot Kom Hospital,KVTbja9X7lA,Pandwong Division,pnTVIF5v27r,Kitgum District,SUvODYOcaVf,Acholi,General Hospital,PNFP
PeqFGkxMSjw,Pearl Medical Centre,pAlHNtMDmam,Lamwo Town Council,xy0M4HhjXtD,Lamwo District,SUvODYOcaVf,Acholi,Clinic,PFP
U1ijnXGUuGE,St. Peter and Paul Health Centre III,lHy3V8wTvjA,Padibe Town Council,xy0M4HhjXtD,Lamwo District,SUvODYOcaVf,Acholi,HC III,PNFP
gzqo9YKPZx1,Cubu Community Health Centre II,a1HgVn8Q288,Palabek Gem Subcounty,xy0M4HhjXtD,Lamwo District,SUvODYOcaVf,Acholi,HC II,PNFP
Rm1RDQip79X,Good Hope Medical Centre (Lamwo) Clinic,KhXTdz48N9o,Palabek Kal Subcounty,xy0M4HhjXtD,Lamwo District,SUvODYOcaVf,Acholi,Clinic,PFP
s6nvpDfR2Vg,Exodus Health Centre II,wGT5jjiP2kz,Anaka Town Council,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PFP
i37kvNZojdz,God's Mercy Health Centre II,wGT5jjiP2kz,Anaka Town Council,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PFP
hA3RIyJEMci,NUMES Medical Centre,wGT5jjiP2kz,Anaka Town Council,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PFP
Y6HWuEiOwo8,St. Francis Health Centre II,wGT5jjiP2kz,Anaka Town Council,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PNFP
XNgY6vmosgX,St. Andrew Health Centre II,DjqXZ26I2cN,Anakapayira Subcounty,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PNFP
JzFXi2QJM1b,Flama Health Centre II,ZUgWbD4nVgr,Koch Goma Town Council,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PFP
BiL6e2ZKUCO,Palwak Health Centre II,ZUgWbD4nVgr,Koch Goma Town Council,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PFP
IgWKJ3pwQKT,St. Stefano Campagnolo Memorial Health Centre II,Ed2uyXvmovM,Koch-Goma Subcounty,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PNFP
d9upGtVO7uQ,Chobe Safari Lodge Health Centre II,lKPVaCs4EKn,Lii Subcounty,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PFP
z6AYrCFBI4u,Thomas Charities Goro Medical Clinic,lKPVaCs4EKn,Lii Subcounty,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PFP
TF8Nekqc89W,Goodsheperd Health Centre II,bCNDIuzKOcc,Lungulu Subcounty,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PNFP
tvBHeHr19vb,Paraa Safari Lodge Clinic,GhrSbqvL2At,Purongo Subcounty,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,Clinic,PFP
PaFDdt89chv,Wiianaka Health Centre II,GhrSbqvL2At,Purongo Subcounty,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PNFP
fOcpxbnY878,Lakony Medcal Centre,HGs7L6N4m9I,Purongo Town Council,zNgVoDVPYgD,Nwoya District,SUvODYOcaVf,Acholi,HC II,PFP
TDEdS0suFyQ,Minakulu (Bobi) Health Centre II,JSyWK54sPRn,Aremo Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,HC II,PNFP
FvWwsC1Skpw,Geofrey Clinic,FjaBJw5pfW8,Bobi Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
QScw1OtIUHL,Heritage Clinic,FjaBJw5pfW8,Bobi Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
dhaWOvNE3VT,Mama Chef Clinic,FjaBJw5pfW8,Bobi Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
LwjvSxyQN4J,Obangatwero Clinic,FjaBJw5pfW8,Bobi Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
IewGdN6LaWm,Emmanuel Clinic (Koro),q03uh0SJ0N9,Koro Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
n4iwSO6iule,Mother Angioletta Memorial Clinic,q03uh0SJ0N9,Koro Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,HC II,PNFP
VY8NMzd0015,Robos Medical Centre,q03uh0SJ0N9,Koro Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
Tujdv27pLc6,Safe Life Clinic,q03uh0SJ0N9,Koro Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
agdLbxaa0Dz,St. Luke Health Centre II,q03uh0SJ0N9,Koro Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,HC II,PNFP
G5TWtCf4cuS,Don Bosco Zati Health Centre II,wZJNRLqCyXo,Labora Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,HC II,PNFP
yliSQxc1HA2,Gracious Clinic Laminadere,wZJNRLqCyXo,Labora Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,HC II,PNFP
zhEQbWf7vYg,Trinity Medical Clinic (Lakwana),BNUP3lD4kG4,Lakwana Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
fLGGzlZfyOJ,Dream Health Centre III,coaoxeAQ63Z,Lakwaya Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,HC III,PNFP
yBp7s5Kti5g,Clinic Wiya Agweng,Jwnd2Jayc4g,Lalogi Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
aaEtUWpmosm,Acet Community Oriented Clinic,acQJJL9aUo0,Odek Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
avi5fZrFoo0,St. Peters Awere Health Centre II,acQJJL9aUo0,Odek Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,HC II,PNFP
OPgM3GAJz1p,Vision Medical Centre,acQJJL9aUo0,Odek Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
UUxtPvznkZX,Flama Uganda Clinic,doqbXRMc7VZ,Omoro Town Council,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
uGfXrLtYv7J,Lacor Opit Health Centre III,doqbXRMc7VZ,Omoro Town Council,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,HC III,PNFP
L4eGrjEGQTN,St. Joseph Community Medical Centre,hMmTuvB73LZ,Ongako Subcounty,S5fvUXgY54J,Omoro District,SUvODYOcaVf,Acholi,Clinic,PFP
xutXNJwdyaK,Jafo Medical Centre Clinic,uHmVhpbgvZJ,Atanga Town Council,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,Clinic,PFP
CHsbmLO3U5C,Jildo Irwa Health Centre II,anccgvVRV6E,Laguti Subcounty,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,HC II,PNFP
tGCoh0Vsdhj,Rackoko Health Centre III,i6CIBWCCnRQ,Lunyiri Subcounty,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,HC III,PNFP
miIJ9LLUACg,Numem Health Care Centre Clinic,OoSjd5RuEQb,Pader Town Council,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,Clinic,PFP
ClqDZtVa7TE,Pader Maternity Home Clinic,OoSjd5RuEQb,Pader Town Council,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,Clinic,PFP
UF0AZkzeYOC,Tekworo Medical Care,OoSjd5RuEQb,Pader Town Council,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,HC II,PFP
AQkq4eUmWyJ,Ultimate Choice Clinic,OoSjd5RuEQb,Pader Town Council,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,Clinic,PFP
tR6T1FslkZe,Labora Clinic,jPjIMFeR7aI,Pajule Town Council,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,Clinic,PFP
QyscUadfYko,Mary Immaculate Health Centre II,jPjIMFeR7aI,Pajule Town Council,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,HC II,PNFP
bKzZqsPr8zk,Niye Health Centre II,jPjIMFeR7aI,Pajule Town Council,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,Clinic,PFP
LXZMPXTcLLr,Pajule Medical Centre,jPjIMFeR7aI,Pajule Town Council,aBrjuZk0W31,Pader District,SUvODYOcaVf,Acholi,Clinic,PFP
N8y4APW3bwq,Malinde Health Centre II,a0vg4d6HxAt,Engaju Subcounty,sWoNWQZ9qrD,Buhweju District,F1o6qBSx783,Ankole,HC II,PFP
E4Vcl5DBfpq,Tumu Hospital,oMZSkQE6CzW,Karungu Subcounty,sWoNWQZ9qrD,Buhweju District,F1o6qBSx783,Ankole,General Hospital,PNFP
RndGp2J7TuE,Butare Health Centre III,FtOWRUlH9Rw,Kashenyi-Kajani Town Council,sWoNWQZ9qrD,Buhweju District,F1o6qBSx783,Ankole,HC III,PNFP
a7VqYp7reP4,Buredo Health Centre II,VblHDCEXvzE,Nyakashaka Town Council,sWoNWQZ9qrD,Buhweju District,F1o6qBSx783,Ankole,HC II,PNFP
DcfZGWaRb5z,Nyakaziba Health Centre II,Z49vz7F9n1T,Nyakaziba Town Council,sWoNWQZ9qrD,Buhweju District,F1o6qBSx783,Ankole,HC II,PFP
kR6RZOJffVY,Beverly Health Centre II,LyMEqtUjGHn,Rubengye Subcounty,sWoNWQZ9qrD,Buhweju District,F1o6qBSx783,Ankole,HC II,PNFP
LhE35B3jIFx,Kikamba Health Centre II,LyMEqtUjGHn,Rubengye Subcounty,sWoNWQZ9qrD,Buhweju District,F1o6qBSx783,Ankole,HC II,PNFP
IgKXuBYXQFl,Bitooma Health Centre III,fEg8tnrpWx6,Bitooma Town Council,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC III,PNFP
aJNgqIuVpYF,Bushenyi Medical Centre HC III,cWGy4pU4VNL,Central Division,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC III,PNFP
UoFAab7MNAo,Kyeizooba Farmers Clinic,cWGy4pU4VNL,Central Division,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,Clinic,PFP
aB4KbCA8Uj6,Reproductive Health Uganda (Bushenyi) Special Clinic,cWGy4pU4VNL,Central Division,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC II,PNFP
aIul7gx7RmZ,St. Laura Health Centre II,aYWNoEFeoUw,Ibaare Subcounty,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC II,PNFP
weoytPabOJz,Doctors Case Medicals Ishaka Health Centre III,Pzuty2p5guf,Ishaka Division,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC III,PNFP
H61tgLIphOZ,Ishaka Adventist Hospital,Pzuty2p5guf,Ishaka Division,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,General Hospital,PNFP
sMYprHm7m3K,KIU Teaching Hospital,Pzuty2p5guf,Ishaka Division,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,General Hospital,PFP
d2dmppHhFZO,Kakanju UMSC Health Centre II,QsVqR2LTTyA,Kakanju Subcounty,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC II,PNFP
vzhSzVp6ULX,Nn Clinic,EITWZ2b7fRb,Kizinda Town Council,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,Clinic,PFP
BoGS6ZmpQc2,Ankole Tea Factory Health Centre II,XKmky62jOBX,Kyamuhunga Town Council,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC II,PNFP
OEhMLFc4vaU,Comboni Hospital,XKmky62jOBX,Kyamuhunga Town Council,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,General Hospital,PNFP
Osw7UTwSksE,Igara Tea Factory Health Centre II,XKmky62jOBX,Kyamuhunga Town Council,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC II,PNFP
f5zHSADblXs,Butuuro Peoples Sacco Clinic,Qf74g7IuA7j,Nyakabirizi Division,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,Clinic,PFP
a1QYwgYBhMH,Katungu (WAD) Health Centre II,Qf74g7IuA7j,Nyakabirizi Division,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC II,PNFP
R43DSu1tUIj,Katungu Mission Health Centre III,Qf74g7IuA7j,Nyakabirizi Division,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC III,PNFP
PaDMXSrDug6,Burungira Health Centre II,DMJIQmR8GNr,Ruhumuro Subcounty,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC II,PNFP
eg7f1iNIImj,Medicare Community Clinic,eRxGpQFZ4PI,Rwentuha Town Council,It5UGwdHAPF,Bushenyi District,F1o6qBSx783,Ankole,HC II,PFP
WsIQqOuUy8N,Bigyera Health Centre II,WzfWcG6I4e6,Bisheshe Division,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,HC II,PNFP
Yts6VtyPYQ4,Bugarama Medical Centre,WzfWcG6I4e6,Bisheshe Division,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
GyYFMjJUPcX,Christian Corps Clinic,a1eKujmyNC4,Bufunda Division,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
MzgMlvWaWK4,Farazia Memorial Clinic,a1eKujmyNC4,Bufunda Division,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
dg5bqjOfDIN,Ibanda Afya Clinic,a1eKujmyNC4,Bufunda Division,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
BqgV00bzutC,Ibanda Central Clinic,a1eKujmyNC4,Bufunda Division,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
ZAdoLtie2uP,Ibanda Comprehensive Medical Centre,a1eKujmyNC4,Bufunda Division,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
BI8hASfVUkv,St. Mary's Domiciliary Clinic,a1eKujmyNC4,Bufunda Division,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
baVbeoSAy7q,Igorora Medical Centre,DIMOQ6yYdSD,Igorora Town Council,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
c77KuqsTbb3,Nabaasa K Medical Centre,DIMOQ6yYdSD,Igorora Town Council,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
OMHKYJZALu2,Busingye Medical Clinic,ZHfJLqSYMkD,Ishongororo Town Council,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
uweQZg0JVlZ,Family Medical Centre,ZHfJLqSYMkD,Ishongororo Town Council,r8WLxW9JwsS,Ibanda District,F1o6qBSx783,Ankole,Clinic,PFP
